Date,flow,average temperature (C),precipitation,ET,PET
2002-07-04,2315520000.0,20.33554051377923,1304869557.4844666,8664283142.0,44754890793.14285
2002-07-05,2168640000.0,20.583793889051343,0.0,8664283142.0,44754890793.14285
2002-07-06,2116800000.0,20.832047264323467,0.0,8664283142.0,44754890793.14285
2002-07-07,2039040000.0000002,21.080300639595585,472769938.00077933,8664283142.0,44754890793.14285
2002-07-08,2021759999.9999998,21.328554014867706,0.0,8664283142.0,44754890793.14285
2002-07-09,1995840000.0000002,21.576807390139823,6420721019.854852,8664283142.0,44754890793.14285
2002-07-10,2021759999.9999998,21.82506076541194,0.0,8664283142.0,44754890793.14285
2002-07-11,1935359999.9999998,22.07331414068406,0.0,8664283142.0,44754890793.14285
2002-07-12,1883520000.0,22.32156751595618,0.0,8461054513.571429,45739619421.571434
2002-07-13,1918080000.0,21.881972307295136,0.0,8461054513.571429,45739619421.571434
2002-07-14,1892159999.9999998,21.44237709863409,0.0,8461054513.571429,45739619421.571434
2002-07-15,1978559999.9999998,21.002781889973047,0.0,8461054513.571429,45739619421.571434
2002-07-16,1995840000.0000002,20.563186681312004,0.0,8461054513.571429,45739619421.571434
2002-07-17,1969920000.0,20.12359147265096,0.0,8461054513.571429,45739619421.571434
2002-07-18,2099520000.0,19.683996263989915,8400883037.640602,8461054513.571429,45739619421.571434
2002-07-19,2540160000.0,19.24440105532887,0.0,8461054513.571429,45739619421.571434
2002-07-20,2116800000.0,18.804805846667826,0.0,8437010214.714285,43778619929.85714
2002-07-21,1926720000.0,19.13339133562057,50589558606.738976,8437010214.714285,43778619929.85714
2002-07-22,1978559999.9999998,19.46197682457332,44996627713.10033,8437010214.714285,43778619929.85714
2002-07-23,3153600000.0,19.790562313526056,36110856091.23377,8437010214.714285,43778619929.85714
2002-07-24,2531520000.0,20.1191478024788,0.0,8437010214.714285,43778619929.85714
2002-07-25,2151360000.0,20.44773329143154,0.0,8437010214.714285,43778619929.85714
2002-07-26,2185920000.0,20.776318780384283,34960951557.2497,8437010214.714285,43778619929.85714
2002-07-27,2617920000.0,21.104904269337027,6846989812.582803,8437010214.714285,43778619929.85714
2002-07-28,5538239999.999999,21.43348975828977,147483416132.45963,5633614531.142857,45607677883.428566
2002-07-29,6073920000.0,21.29425964433284,15370643025.72245,5633614531.142857,45607677883.428566
2002-07-30,5063040000.0,21.15502953037592,69747738876.33708,5633614531.142857,45607677883.428566
2002-07-31,5244480000.0,21.015799416418982,47272398451.40284,5633614531.142857,45607677883.428566
2002-08-01,5071680000.0,20.87656930246205,0.0,5633614531.142857,45607677883.428566
2002-08-02,3913919999.9999995,20.737339188505125,13642458575.21366,5633614531.142857,45607677883.428566
2002-08-03,3188160000.0,20.598109074548194,0.0,5633614531.142857,45607677883.428566
2002-08-04,2695680000.0,20.458878960591267,4495228864.211285,5633614531.142857,45607677883.428566
2002-08-05,2453760000.0,20.319648846634337,0.0,6426955447.000001,43485980258.57143
2002-08-06,2237760000.0,20.401766924047923,0.0,6426955447.000001,43485980258.57143
2002-08-07,2116800000.0,20.48388500146152,0.0,6426955447.000001,43485980258.57143
2002-08-08,2134080000.0,20.5660030788751,0.0,6426955447.000001,43485980258.57143
2002-08-09,2142720000.0,20.64812115628869,0.0,6426955447.000001,43485980258.57143
2002-08-10,2090880000.0,20.730239233702275,0.0,6426955447.000001,43485980258.57143
2002-08-11,2056320000.0,20.81235731111586,0.0,6426955447.000001,43485980258.57143
2002-08-12,1987200000.0,20.89447538852945,1902892841.7263126,6426955447.000001,43485980258.57143
2002-08-13,1969920000.0,20.97659346594304,0.0,8612086533.714285,40071811213.85714
2002-08-14,1969920000.0,20.68010120586442,4907558060.555227,8612086533.714285,40071811213.85714
2002-08-15,2142720000.0,20.38360894578581,3079281003.6560893,8612086533.714285,40071811213.85714
2002-08-16,2341440000.0,20.0871166857072,16657830462.737795,8612086533.714285,40071811213.85714
2002-08-17,2246400000.0,19.79062442562858,274268666.67734665,8612086533.714285,40071811213.85714
2002-08-18,2168640000.0,19.494132165549967,0.0,8612086533.714285,40071811213.85714
2002-08-19,2108159999.9999998,19.197639905471352,101997029740.76945,8612086533.714285,40071811213.85714
2002-08-20,2151360000.0,18.90114764539274,0.0,8612086533.714285,40071811213.85714
2002-08-21,2082240000.0000002,18.604655385314125,275267405.6482343,6232788720.428571,39164169298.85715
2002-08-22,2082240000.0000002,18.801919306468648,110746920831.02705,6232788720.428571,39164169298.85715
2002-08-23,2237760000.0,18.99918322762317,0.0,6232788720.428571,39164169298.85715
2002-08-24,2090880000.0,19.196447148777693,920910736.5335768,6232788720.428571,39164169298.85715
2002-08-25,2047680000.0,19.393711069932216,0.0,6232788720.428571,39164169298.85715
2002-08-26,2401920000.0,19.590974991086743,0.0,6232788720.428571,39164169298.85715
2002-08-27,2410560000.0,19.788238912241265,0.0,6232788720.428571,39164169298.85715
2002-08-28,2367360000.0,19.98550283339579,0.0,6232788720.428571,39164169298.85715
2002-08-29,2332800000.0,20.18276675455031,0.0,9199540604.714287,35618058641.57143
2002-08-30,2306880000.0,20.356901089382465,0.0,9199540604.714287,35618058641.57143
2002-08-31,2047680000.0,20.531035424214625,0.0,9199540604.714287,35618058641.57143
2002-09-01,2004480000.0,20.70516975904677,0.0,9199540604.714287,35618058641.57143
2002-09-02,1987200000.0,20.87930409387893,0.0,9199540604.714287,35618058641.57143
2002-09-03,1995840000.0000002,21.05343842871109,3610828560.14342,9199540604.714287,35618058641.57143
2002-09-04,1969920000.0,21.22757276354324,0.0,9199540604.714287,35618058641.57143
2002-09-05,1926720000.0,21.4017070983754,0.0,9199540604.714287,35618058641.57143
2002-09-06,1805759999.9999998,21.57584143320755,0.0,8139416726.571428,28770630070.142857
2002-09-07,1676159999.9999998,21.227535688268222,0.0,8139416726.571428,28770630070.142857
2002-09-08,1615680000.0,20.879229943328905,0.0,8139416726.571428,28770630070.142857
2002-09-09,1581120000.0,20.530924198389584,0.0,8139416726.571428,28770630070.142857
2002-09-10,1589759999.9999998,20.18261845345026,2709714780.1852736,8139416726.571428,28770630070.142857
2002-09-11,1598400000.0,19.834312708510936,13854969532.832325,8139416726.571428,28770630070.142857
2002-09-12,1589759999.9999998,19.48600696357161,0.0,8139416726.571428,28770630070.142857
2002-09-13,1503359999.9999998,19.13770121863229,0.0,8139416726.571428,28770630070.142857
2002-09-14,1451520000.0,18.78939547369297,0.0,5224378260.285714,35608755070.14286
2002-09-15,2393280000.0,18.18828101270516,112100590590.29373,5224378260.285714,35608755070.14286
2002-09-16,2203200000.0,17.587166551717345,1433191346.9868152,5224378260.285714,35608755070.14286
2002-09-17,1788480000.0,16.98605209072953,0.0,5224378260.285714,35608755070.14286
2002-09-18,1719359999.9999998,16.384937629741717,0.0,5224378260.285714,35608755070.14286
2002-09-19,1667520000.0,15.783823168753903,1553586494.2345726,5224378260.285714,35608755070.14286
2002-09-20,1935359999.9999998,15.182708707766093,111524957962.42618,5224378260.285714,35608755070.14286
2002-09-21,2920319999.9999995,14.581594246778277,23276073395.68481,5224378260.285714,35608755070.14286
2002-09-22,2401920000.0,13.980479785790465,690939696.184063,4915427195.428573,30764856709.000004
2002-09-23,1935359999.9999998,14.261206238692967,0.0,4915427195.428573,30764856709.000004
2002-09-24,1805759999.9999998,14.541932691595472,0.0,4915427195.428573,30764856709.000004
2002-09-25,1745280000.0,14.822659144497978,345873235.37440544,4915427195.428573,30764856709.000004
2002-09-26,1719359999.9999998,15.103385597400482,46357261418.570656,4915427195.428573,30764856709.000004
2002-09-27,2030400000.0,15.384112050302988,21062560361.50268,4915427195.428573,30764856709.000004
2002-09-28,2661120000.0,15.664838503205493,0.0,4915427195.428573,30764856709.000004
2002-09-29,2073600000.0,15.945564956107996,0.0,4915427195.428573,30764856709.000004
2002-09-30,1900800000.0,16.2262914090105,5295682911.416585,4115924189.285714,29916177629.285713
2002-10-01,1866240000.0000002,15.37364420161264,0.0,4115924189.285714,29916177629.285713
2002-10-02,1857600000.0,14.52099699421478,33791911694.282265,4115924189.285714,29916177629.285713
2002-10-03,1848959999.9999998,13.66834978681692,0.0,4115924189.285714,29916177629.285713
2002-10-04,1797120000.0,12.81570257941906,22781516012.542385,4115924189.285714,29916177629.285713
2002-10-05,2039040000.0000002,11.9630553720212,2035920541.6701741,4115924189.285714,29916177629.285713
